행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,145.77,1.94,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,178.64,2.38,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,306.19,1.72,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,75.18,1.6,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,42.18,1.55,0,0,0,경계석,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,콘크리트,37.37,3.18,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,콘크리트,98.28,1.06,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,콘크리트,83.46,1.06,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,좌,콘크리트,20.23,1.19,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,콘크리트,15.02,1.18,0,0,0,도색,
음봉면,음봉면 덕지리,도시계획과,19000101,지방도로_628,자전거보행자겸용도로,우,콘크리트,19.96,0.98,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,69.29,2.27,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,10.52,2.4,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,중3-05,자전거보행자겸용도로,우,콘크리트,18.85,2.02,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,44.17,2.36,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,43.62,2.34,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,61.25,2.31,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,146.5,2.35,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,66.75,2.21,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,68.4,2.38,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,144.9,2.39,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,159.1,2.29,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,110.1,2.22,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,23.2,2.25,0,0,0,도색,
둔포면,둔포면 운용리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,33.72,1.49,0,0,0,경계석,
둔포면,둔포면 운용리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,112.9,1.45,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,33.66,1.45,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,21.79,1.52,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,52.47,1.51,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,46.43,1.5,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,13.03,1.5,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,중1-03,자전거보행자겸용도로,좌,투수콘,19.54,1.52,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,11.18,1.94,0,0,0,도색,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,우,콘크리트,31.09,2.31,0,0,0,도색,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,좌,아스콘,588.4,2.12,0,0,0,미분류,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,우,아스콘,656,2.23,0,0,0,미분류,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,중앙,투수콘,19.3,1.65,0,0,0,경계석,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,좌,아스콘,830.8,2.26,0,0,0,미분류,
