공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
427,AE543,33,4143010800,377090692D,MNG001,28,,14.72000027,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200707.5146,533658.033
428,AE543,136,4143010800,377090692B,MNG001,28,,31.27000046,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200736.9317,533717.3148
429,AE543,138,4143010800,377090692D,MNG001,28,,122.2699966,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200728.9219,533677.7761
430,AE543,137,4143010800,377090692B,MNG001,28,,40.63000107,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200759.3133,533755.7904
431,AE543,1,4143010800,377090692B,MNG001,28,,53.84000015,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200810.3011,533783.9643
438,AE543,4071,4143010600,377091112C,MNG001,200152,국지도57호선,392.7600098,2,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,200596.64,532413.3762
529,AE543,15,4143010800,377090685D,MNG001,1013,,597.0700073,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,201979.0248,534101.0019
530,AE543,11,4143010800,377090685C,MNG001,1013,,564.8400269,1,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,201838.0967,534129.2057
473,AE543,2226,4143010700,376121526A,MNG001,100060,,56.9,1.64,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197803.4751,532091.055
474,AE543,47,4143010700,376121535D,MNG001,945,,145.5899963,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,197564.198,531399.1439
475,AE543,2210,4143010700,376121535B,MNG001,100064,,43.3,2.41,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197689.4743,531616.8808
