노선명,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(km),자전거도로너비(m),데이터기준일자
달서대로,대구광역시,달서구,대구광역시 달서구 유천동 376-1,대구광역시 달서구 서재리 산 38-8,14.4,6.5,2025-11-27
성서공단로,대구광역시,달서구,대구광역시 달서구 대천동 900,대구광역시 달서구 월성동 1794-4,7.9,6,2025-11-27
조암로,대구광역시,달서구,대구광역시 달서구 월암동 1148,대구광역시 달서구 월성동 1811,2.2,1.9,2025-11-27
새방로,대구광역시,달서구,대구광역시 달서구 용산동 501-2,대구광역시 달서구 용산동 6-10,1.9,4,2025-11-27
선원로,대구광역시,달서구,대구광역시 달서구 신당동 1697-1,대구광역시 달서구 용산동 395,6,4.5,2025-11-27
평리로,대구광역시,달서구,대구광역시 달서구 용산동 395,대구광역시 달서구 용산동 855-22,1.5,5,2025-11-27
상화북로,대구광역시,달서구,대구광역시 달서구 상인동 1468,대구광역시 달서구 상인동 1600,1.56,2.86,2025-11-27
화암로,대구광역시,달서구,대구광역시 달서구 본리리 113-1,대구광역시 달서구 대곡동 1021,1.8,5,2025-11-27
성서로,대구광역시,달서구,대구광역시 달서구 대천동 701,대구광역시 달서구 이곡동 1308-1,9.2,4,2025-11-27
장산로,대구광역시,달서구,대구광역시 달서구 용산동 230-20,대구광역시 달서구 용산동 230-7,1.2,3,2025-11-27
