행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
사천읍,2011-01-01,,자전거전용도로,기타,56.1,2.4,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,15,2.4,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,72,2.4,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,256,2.5,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,165,2.4,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,181,1.8,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,121,2.3,0,0,0,경계석
사천읍,2011-01-01,,자전거전용도로,기타,77.5,2.3,0,0,0,경계석
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,54.99,1.6,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,72.61,1.6,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,46.74,1.7,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,69.93,1.6,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,0,1.4,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,86.93,1.7,0,0,0,고압블록
선구동,2011-01-01,,자전거보행자겸용도로,아스콘,37.59,1.6,0,0,0,고압블록
용현면,2010-01-01,대1-4,자전거보행자겸용도로,고압블럭,96.85,2.9,0,0,0,경계석
용현면,2010-01-01,대1-4,자전거보행자겸용도로,고압블럭,77.86,2.93,0,0,0,경계석
용현면,2010-01-01,대1-4,자전거보행자겸용도로,고압블럭,0,2.97,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,9.46,1.62,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,10,1.51,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,1.61,1.56,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,9.18,1.61,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,6.29,1.82,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,3.61,1.68,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,3.39,1.78,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,9.99,1.85,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,37.55,1.85,0,0,0,경계석
정동면,2008-01-01,,자전거전용도로,아스팔트,10,1.78,0,0,0,경계석
사남면,2005-12-31,,자전거보행자겸용도로,블록,5,1.5,0,0,0,고압블록
사남면,2000-12-31,소로(국)3-3,자전거보행자겸용도로,블록,1.13,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,1.49,1.3,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-2,자전거보행자겸용도로,블록,3.83,1.7,0,0,0,고압블록
사남면,2005-12-31,,자전거보행자겸용도로,고압블럭,2.14,1.5,0,0,0,경계석
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,2.89,1.7,0,0,0,고압블록
사남면,2000-12-31,대로(주)3-1,자전거보행자겸용도로,블록,2.42,1.7,0,0,0,고압블록
