id,name,sigungu,reservation_org,reservation_url,reservation_open,use_season,reservation_note
camp-31533,영산강 승촌보캠핑장,남구,광주남구청,https://camp.xticket.kr/web/main?shopEncode=a1535c44b7b5b3ab38fd902f0c58f8600f1a57e45999ac4b1a7b8c321f1d2df5,,,
camp-31244,무안황토갯벌랜드 오토캠핑장,무안군,무안군청,https://www.muan.go.kr/getbol/camping_ground/facilities_guide/camping_ground,,,
camp-31403,회산백련지 오토캠핑장,무안군,무안군청,https://www.muan.go.kr/lotus,,,
camp-31067,제암산자연휴양림 야영장,보성군,보성군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030090,,,
camp-31601,광주시민의 숲 야영장,북구,광주북구청,https://www.gwangju.go.kr/envi/contentsView.do?pageId=envi42,,,
camp-31295,순천국민여가캠핑장,순천시,순천시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030058,,,
camp-31026,순천자연휴양림 야영장,순천시,순천시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030058,,,
camp-31350,주암 오토캠핑장,순천시,순천시청,http://sjcamping.co.kr/main/,,,
camp-31028,신안자연휴양림 캠핑장,신안군,신안군청,,,,
camp-30979,봉황산자연휴양림 야영장,여수,여수시도시관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030097,,,
camp-31306,여수굴전여가캠핑장,여수시,여수시청,http://yeosucamping.co.kr,,,
camp-31324,웅천친수공원 야영장,여수시,여수시청,http://ok.yeosu.go.kr/ok/stay/woongcheon/reservation/page.ok,,,
camp-31165,가마미야영장,영광군,영광군청,http://www.gamamibeach.co.kr/,,,
camp-31409,F1 오토캠핑장,영암군,영암군청,https://www.koreacircuit.kr:442/web,,,
camp-gc-020,영암군 국민여가 캠핑장,영암군,,,,,
camp-31392,홍길동테마파크 야영장,장성군,장성군청,https://www.jangseong.go.kr/home/honggildong,,,
camp-gc-021,정남진리조트 국민여가캠핑장,장흥군,,,,,
camp-31355,진도풍경오토캠핑장,진도군,진도군청,https://www.jindo.go.kr/sambyeolcho/sub/0202.php,,,
camp-31561,함평나비마을 서울캠핑장,함평군,서울특별시청,https://blog.naver.com/seoul_camp/221494081147,,,
camp-31463,땅끝오토캠핑장,해남군,해남군청,https://autocamp.haenam.go.kr/main/index.html,,,
camp-31465,땅끝황토나라테마촌,해남군,해남군청,https://www.hwangtocamping.com/main/index.html,,,
camp-31115,흑석산자연휴양림 야영장,해남군,해남군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030045,,,
camp-31318,오류캠핑장,경주시,경주시시설관리공단,https://camping.gyeongju.go.kr/index.jsp,,,
camp-31227,대가야농촌문화체험특구 캠핑장,고령군,고령군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=6768&viewType=read01,,,
camp-31228,대가야역사테마관광지 캠핑장,고령군,고령군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=719&viewType=read01,,,
camp-31265,부례관광지,고령군,고령군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1396&viewType=read01,,,
camp-31188,구미 캠핑장,구미시,구미시설공단,https://camp.xticket.kr/web/main?shopEncode=55479e903d91d14dafe6e066016dfb02a001845c0efdbeec73a14670384a028d,,,
camp-31195,금오산 야영장,구미시,금오산야영장관리사무소,www.gumi.go.kr/tour,,,
camp-31042,옥성자연휴양림 야영장,구미시,구미시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030066,,,
camp-31192,군위전투전승기념공원캠핑장,군위군,군위군청,https://www.gunwi.go.kr/peace/index.do,,,
camp-31327,위천수변 테마파크,군위군,군위군청,http://wcpark.gunwi.go.kr/page/reservation,,,
camp-31200,김천부항댐 산내들 오토캠핑장,김천시,김천시청,https://www.gc.go.kr/sannaedeul/main.do,,,
camp-31353,증산수도계곡캠핑장,김천시,김천시청,https://www.gc.go.kr/sudo/main.do,,,
camp-31213,단산모노레일오토캠핑장,문경시,문경관광진흥공단,https://www.mgtpcr.or.kr/web/page.do?menuIdx=573,,,
camp-31214,단산숲속캠핑장,문경시,문경관광진흥공단,https://www.mgtpcr.or.kr/web/monorailList.do?menuIdx=578#loadPosition,,,
camp-31248,문경새재국민여가캠핑장,문경시,문경관광진흥공단,https://www.mgtpcr.or.kr/web/page.do?menuIdx=357,,,
camp-31247,문경새재국민여가캠핑장,문경시,문경관광진흥공단,https://www.mgtpcr.or.kr/web/page.do?menuIdx=357,,,
camp-30985,불정자연휴양림 야영장,문경시,문경관광진흥공단,https://www.mgtpcr.or.kr/web/page.do?menuIdx=371,,,
camp-30964,문수산자연휴양림 야영장,봉화군,봉화군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030102,,,
camp-31568,봉화 솔향가득 서울캠핑장,봉화군,서울특별시,https://blog.naver.com/seoul_camp/221494118588,,,
camp-31502,석문 오토캠핑장,봉화군,봉화군청,https://www.bonghwa.go.kr/open.content/tour/,,,
camp-31364,청량산캠핑장,봉화군,봉화군청,https://www.bonghwa.go.kr/open.content/camp/,,,
camp-31579,문장대 야영장(상오지구),상주시,상주시청,https://www.sangju.go.kr/tour/sights/detail.tc?mn=4033&pageSeq=2898&paramIdx=327&protocol=http,,,
camp-31578,문장대 야영장(용유지구),상주시,상주시청,https://www.sangju.go.kr/tour/sights/detail.tc?mn=4033&pageSeq=2898&paramIdx=327&protocol=http,,,
camp-31250,문장대오토캠핑장,상주시,상주시청,https://www.mjdcamp.kr:455/,,,
camp-31569,상주 감꽃마을 서울캠핑장,상주시,서울특별시,https://blog.naver.com/seoul_camp/221494122059,,,
camp-30997,상주 성주봉자연휴양림 야영장,상주시,상주군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030039,,,
camp-31273,상주보 오토캠핑장,상주시,상주시청,http://seksj.co.kr/,,,
camp-31193,금수문화공원 야영장,성주군,성주군청,https://www.sj.go.kr/gumsu/main.do,,,
camp-31207,남작골농촌체험마을야영장,성주군,성주군청,https://sori114.com/sori/board.php?board=acc&command=body&no=38427,,,
camp-31215,단호샌드파크캠핑장,안동시,안동시시설관리공단,https://www.danhosand.or.kr:1002/coding/sub4/sub2.asp,,,
camp-31030,안동계명산자연휴양림 야영장,안동시,안동시시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030029,,,
camp-31311,영덕 고래불 국민 야영장,영덕군,영덕군청,http://stay.yd.go.kr/,,,
camp-31314,영덕 해맞이 캠핑장,영덕군,영덕군청,http://stay.yd.go.kr/,,,
camp-31277,생태공원사업소 캠핑장,영양군,영양군청,https://www.yyg.go.kr/np/camping,,,
camp-31261,별빛야영장,영천시,영천시 시설관리공단,https://tickets.interpark.com/goods/18012813,,,
camp-31260,별빛야영장,영천시,영천시 시설관리공단,https://tickets.interpark.com/goods/18012813,,,
camp-30976,보현산자연휴양림 야영장,영천시,영천시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030105,,,
camp-31056,운주산승마자연휴양림 야영장,영천시,영천시시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030081,,,
camp-31371,치산 관광지 캠핑장,영천시,영천시 시설관리공단,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20010339,,,
camp-31271,삼강나루캠핑장,예천군,예천군청,삼강나루캠핑장.kr,,,
camp-31317,예천군 곤충나라 사과테마파크 오토캠핑장,예천군,예천군청,https://www.ycg.kr/open.content/ko/section/agriculture/apple.park/camping/,,,
camp-gc-014,울릉군국민여가캠핑장,울릉군,,,,,
camp-31387,학포야영장,울릉군,울릉군청,http://ulleung.go.kr/tour/page.htm?mnu_uid=2085&,,,
camp-30838,구수곡자연휴양림 야영장,울진군,울진군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030073,,,
camp-31179,고운마을캠핑장,의성군,의성군청,http://www.gowoon.or.kr/sub6_1.html,,,
camp-31328,의성펫월드 오토캠핑장,의성군,의성군청,https://www.usc.go.kr/petworld/main.tc,,,
camp-31322,운문산군립공원 소머리 야영장,청도군,청도군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2439&viewType=read01,,,
camp-31362,청도신화랑 풍류마을 오토캠핑장,청도군,청도우리정신문화재단,http://cdws.or.kr/open.content/hwarang/facilities/camp/,,,
camp-31168,가산산성 야영장,칠곡군,팔공산도립공원관리사무소,https://camping.gb.go.kr/main.php,,,
camp-31021,송정자연휴양림 야영장,칠곡군,칠곡군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030076,,,
camp-31372,칠곡보 오토캠핑장,칠곡군,칠곡군청,https://camp.xticket.kr/web/main?shopEncode=3b8dfd4fe83ef398626319d169929b5df473aafca57da427af869db901ce8b86,,,
camp-31098,팔공산금화자연휴양림 야영장,칠곡군,경상북도산림자원개발원,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030006,,,
camp-30992,비학산자연휴양림 야영장,포항시,포항시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,,,
camp-gc-015,포항국민여가캠핑장,포항시,,,,,
camp-31383,포항시 국민여가캠핑장,포항시,포항시청,https://www.pohang.go.kr/camping/web/,,,
camp-31219,달서별빛캠프 캠핑장,달서구,달서구청,https://camp.xticket.kr/web/main?shopEncode=f27ad3485cf140b64341e2cc975c376d14561a12aca07349ae393d97379882c7,,,
camp-31203,낙동강레포츠밸리 강변오토캠핑장,달성군,달성군시설관리공단,https://www.dssiseol.or.kr/pages/yeyak_sports/page.html?mc=1135,,,
camp-31204,낙동강레포츠밸리 구지오토캠핑장,달성군,달성군시설관리공단,https://www.dssiseol.or.kr/pages/yeyak_sports/page.html?mc=1186,,,
camp-30989,비슬산자연휴양림 야영장,달성군,달성군시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030093,,,
camp-31237,도학 오토캠핑장,동구,대구광역시 팔공산자연공원관리사무소,http://yeyak.daegu.go.kr/yeyak/main/mainPage.do,,,
camp-31239,동화야영장,동구,대구광역시 팔공산자연공원관리사무소,https://yeyak.daegu.go.kr/yeyak/PageLink.do?link=/guide/fac_guide26,,,
